sku;old_url;operation;new_url;
vl-48241;http://www.trains-addicted.ro/ro/producatori/modele-vollmer/macheta-auto-H0--2-2;DELETE_LINK;;
vl-47761;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-47760;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-47757;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-47713;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-47671;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-47651;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-47640;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-47607;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-47522;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-47505;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-45716;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-45605;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-45134;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-45018;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-43961;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-43950;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-43828;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-43809;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-43780;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-43772;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-43744;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-43739;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-43728;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-43697;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-43683;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-43682;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-43681;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-43634;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-43629;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-43608;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-43558;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-43510;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-43502;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-43001;https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
vl-0-casa,constructie (OK);https://www.trains-addicted.ro/ro/producatori/faller/adeziv-pentru-plastic;;adeziv-pentru-plastic.html;
tom-02070322;http://www.trains-addicted.ro/ro/producatori/train-o-matic/decodor-de-functii;;decodor-de-functii.html;
tom-02070310;http://www.trains-addicted.ro/ro/producatori/train-o-matic/decodor-de-functii;;decodor-de-functii.html;
tom-02070309;http://www.trains-addicted.ro/ro/producatori/train-o-matic/decodor-de-functii;;decodor-de-functii.html;
tom-02070308-e;http://www.trains-addicted.ro/ro/producatori/train-o-matic/decodor-de-functii;;decodor-de-functii.html;
tom-02070308;http://www.trains-addicted.ro/ro/producatori/train-o-matic/decodor-de-functii;;decodor-de-functii.html;
tom-02070307-o;http://www.trains-addicted.ro/ro/producatori/train-o-matic/decodor-de-functii;;decodor-de-functii.html;
tom-02070307;http://www.trains-addicted.ro/ro/producatori/train-o-matic/decodor-de-functii;;decodor-de-functii.html;
tom-02070306;http://www.trains-addicted.ro/ro/producatori/train-o-matic/decodor-de-functii;;decodor-de-functii.html;
tom-02070305-o;http://www.trains-addicted.ro/ro/producatori/train-o-matic/decodor-de-functii;;decodor-de-functii.html;
tom-02070305;http://www.trains-addicted.ro/ro/producatori/train-o-matic/decodor-de-functii;;decodor-de-functii.html;
tom-02070304;http://www.trains-addicted.ro/ro/producatori/train-o-matic/decodor-de-functii;;decodor-de-functii.html;
tom-02070303;http://www.trains-addicted.ro/ro/producatori/train-o-matic/decodor-de-functii;;decodor-de-functii.html;
tom-02070302;http://www.trains-addicted.ro/ro/producatori/train-o-matic/decodor-de-functii;;decodor-de-functii.html;
tom-02070301;http://www.trains-addicted.ro/ro/producatori/train-o-matic/decodor-de-functii;;decodor-de-functii.html;
tom-02030401-tds;https://www.trains-addicted.ro/manuals/tom/tOm_TD_Servo_en_v_0.0.2.pdf;;manuals/tom/tOm_TD_Servo_en_v_0.0.2.pdf;
tom-02010217-plux22;http://www.trains-addicted.ro/manuals/tom/tOm_Lokommander_Mini_Basic_ro_v_0.0.10_pagina_13_19.pdf;;manuals/tom/tOm_Lokommander_Mini_Basic_ro_v_0.0.10_pagina_13_19.pdf;
tom-02010217-plux22;http://www.trains-addicted.ro/manuals/tom/tOm_Lokommander_Mini_CV_Table_v_0.0.9.pdf;;manuals/tom/tOm_Lokommander_Mini_CV_Table_v_0.0.9.pdf;
tom-02010212-8pini;http://www.trains-addicted.ro/manuals/tom/tOm_Lokommander_Mini_Basic_ro_v_0.0.10_pagina_13_19.pdf;;manuals/tom/tOm_Lokommander_Mini_Basic_ro_v_0.0.10_pagina_13_19.pdf;
tom-02010212-8pini;http://www.trains-addicted.ro/manuals/tom/tOm_Lokommander_Mini_CV_Table_v_0.0.9.pdf;;manuals/tom/tOm_Lokommander_Mini_CV_Table_v_0.0.9.pdf;
tom-02010209-mtc21;http://www.trains-addicted.ro/manuals/tom/tOm_Lokommander_Mini_Basic_ro_v_0.0.10_pagina_13_19.pdf;;manuals/tom/tOm_Lokommander_Mini_Basic_ro_v_0.0.10_pagina_13_19.pdf;
tom-02010209-mtc21;http://www.trains-addicted.ro/manuals/tom/tOm_Lokommander_Mini_CV_Table_v_0.0.9.pdf;;manuals/tom/tOm_Lokommander_Mini_CV_Table_v_0.0.9.pdf;
tom-02010206-plux16;http://www.trains-addicted.ro/manuals/tom/tOm_Lokommander_Mini_Basic_ro_v_0.0.10_pagina_13_19.pdf;;manuals/tom/tOm_Lokommander_Mini_Basic_ro_v_0.0.10_pagina_13_19.pdf;
tom-02010206-plux16;http://www.trains-addicted.ro/manuals/tom/tOm_Lokommander_Mini_CV_Table_v_0.0.9.pdf;;manuals/tom/tOm_Lokommander_Mini_CV_Table_v_0.0.9.pdf;
tom-02010205-plux12;http://www.trains-addicted.ro/manuals/tom/tOm_Lokommander_Mini_Basic_ro_v_0.0.10_pagina_13_19.pdf;;manuals/tom/tOm_Lokommander_Mini_Basic_ro_v_0.0.10_pagina_13_19.pdf;
tom-02010205-plux12;http://www.trains-addicted.ro/manuals/tom/tOm_Lokommander_Mini_CV_Table_v_0.0.9.pdf;;manuals/tom/tOm_Lokommander_Mini_CV_Table_v_0.0.9.pdf;
tom-02010201-s;http://www.trains-addicted.ro/manuals/tom/tOm_Lokommander_Mini_Basic_ro_v_0.0.10_pagina_13_19.pdf;;manuals/tom/tOm_Lokommander_Mini_Basic_ro_v_0.0.10_pagina_13_19.pdf;
tom-02010201-s;http://www.trains-addicted.ro/manuals/tom/tOm_Lokommander_Mini_CV_Table_v_0.0.9.pdf;;manuals/tom/tOm_Lokommander_Mini_CV_Table_v_0.0.9.pdf;
